Rank,Company,股票代码,部门,行业,盈利,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,资产,更新市值
1,Walmart,WMT,Retailing,General Merchandisers,1,0,0,0,0,0,0,1,1,1,2100000,484852.8,648125,6,15511,32.8,252399,559911
2,Amazon,AMZN,Retailing,Internet Services and Retailing,1,0,0,0,0,0,0,1,1,0,1525000,1873675.8,574785,11.8,30425,,527854,2005565
3,Apple,AAPL,Tech0logy,"Computers, Office Equipment",1,0,0,0,1,1,0,1,1,0,161000,2647973.8,383285,-2.8,96995,-2.8,352583,3594309
4,UnitedHealth Group,UNH,Health Care,Health Care: Insurance and Managed Care,1,0,0,1,1,1,0,1,1,0,440000,456080.8,371622,14.6,22381,11.2,273720,474339
5,Berkshire Hathaway,BRKA,Financials,Insurance: Property and Casualty (Stock),1,0,0,1,2,1,0,1,1,0,396500,908919.7,364482,20.7,96223,,1069978,937028
6,CVS Health,CVS,Health Care,Health Care: Pharmacy and Other Services,1,0,1,0,0,0,0,1,1,0,259500,100373.9,357776,10.9,8344,101.1,249728,73653
7,Exxon Mobil,XOM,Energy,Petroleum Refining,1,0,0,0,-4,0,1,1,0,0,61500,461222.2,344582,-16.7,36010,-35.4,376317,516824
8,Alphabet,GOOGL,Tech0logy,Internet Services and Retailing,1,0,0,0,0,0,0,1,1,0,182502,1884633,307394,8.7,73795,23,402392,2315182
9,McKesson,MCK,Health Care,Wholesalers: Health Care,1,0,0,0,0,0,0,1,0,0,48000,70546.5,276711,4.8,3560,219.6,62320,75007
10,Cencora,COR,Health Care,Wholesalers: Health Care,1,0,0,1,1,1,0,1,0,0,44000,48472.1,262173.4,9.9,1745.3,2.7,62558.7,43758
11,Costco Wholesale,COST,Retailing,General Merchandisers,1,0,0,1,1,1,0,1,1,0,316000,324924.4,242290,6.8,6292,7.7,68994,376272
12,JPMorgan Chase,JPM,Financials,Commercial Banks,1,0,0,1,11,1,0,1,1,0,309926,576938.4,239425,54.7,49552,31.5,3875393,603194
13,Microsoft,MSFT,Tech0logy,Computer Software,1,0,0,0,0,0,0,1,1,0,221000,3126133.1,211915,6.9,72361,-0.5,411976,3373970
14,Cardinal Health,CAH,Health Care,Wholesalers: Health Care,1,0,0,1,0,0,0,1,0,0,47520,27217.8,205012,13,261,,43417,22832
15,Chevron,CVX,Energy,Petroleum Refining,1,0,0,1,-5,0,1,1,0,0,45600,292965.6,200949,-18.4,21369,-39.7,261632,291950
